id,title,content,published_at,source,category,author,url
1,"Sample News","This is a sample news article content.","2025-04-18 15:06:15.186813","Sample Source",general,Admin,https://example.com/sample-article
2,"US will 'move on' from Ukraine peace talks if no progress soon, secretary of state says","Marco Rubio's comments come as Ukraine says it took a first step towards signing a minerals deal with the US.","2025-04-18 15:18:22.515773",BBC,general,Unknown,https://www.bbc.com/news/articles/c20x5xn1g92o
3,"British couple killed in cable car crash, Italian police say","Four people died in the incident at Mount Faito, while another was ""extremely seriously injured"".","2025-04-18 15:18:22.515797",BBC,general,Unknown,https://www.bbc.com/news/articles/c4grkzvlkwno
4,"Senator meets man mistakenly deported from US to El Salvador","But Salvadoran President Bukele says Kilmar Ábrego García - who is at the centre of a US court battle - will stay in custody.","2025-04-18 15:18:22.515810",BBC,general,Unknown,https://www.bbc.com/news/articles/cd6j7jjpgy6o
5,"Donald Trump suggests UK state visit set for September","Earlier this year, King Charles III invited Donald Trump for an unprecedented second state visit.","2025-04-18 15:18:22.515820",BBC,general,Unknown,https://www.bbc.com/news/articles/cp8k5n33y41o
6,"Weapons left by US in Afghanistan sold to militant groups, sources tell BBC","Sources say half a million US weapons obtained by the Taliban have been lost, sold or smuggled to militant groups.","2025-04-18 15:18:22.515831",BBC,general,Unknown,https://www.bbc.com/news/articles/cr78nkg548lo
7,"How much do bin workers get paid?","At the heart of the dispute are the Waste Recycling and Collection Officers, who were paid more than some other bin workers.","2025-04-18 15:18:22.515841",BBC,general,Unknown,https://www.bbc.com/news/articles/c89gd90ny9xo
8,"Easter travel disruption expected on rail and roads","The weather could also cause disruptions with rain and possible flooding in already saturated areas.","2025-04-18 15:18:22.515851",BBC,general,Unknown,https://www.bbc.com/news/articles/c078mpe3211o
9,"Project to suck carbon out of sea begins in UK","A pilot project will test whether it is a useful way of fighting climate change.","2025-04-18 15:18:22.515861",BBC,general,Unknown,https://www.bbc.com/news/articles/cr788kljlklo
10,"Syrians have more freedom after Assad, but could they soon lose it?","There are concerns around what democracy could look like and the role of Islam in the new regime.","2025-04-18 15:18:22.515870",BBC,general,Unknown,https://www.bbc.com/news/articles/cr4nqe3724vo
11,"Eyesight rules for motorists unsafe, says coroner","Visual legal standards for motorists is ""ineffective and unsafe"", a coroner says.","2025-04-18 15:18:22.515880",BBC,general,Unknown,https://www.bbc.com/news/articles/czrv1g2yl0xo
12,"Hamas formally rejects Israeli ceasefire offer","The group says it wants a deal that would free all hostages in return for an end to the war.","2025-04-18 15:18:22.515890",BBC,general,Unknown,https://www.bbc.com/news/articles/ce8gzm0p1y8o
13,"Watch: Olympic legend leaves parents in her dust at school sports day","The third-fastest woman in history, Shelly-Ann Fraser-Pryce, took part in sports day at her son's school in Jamaica.","2025-04-18 15:18:22.515901",BBC,general,Unknown,https://www.bbc.com/news/videos/c70zj1xxgjzo
14,"Five takeaways from Canada party leaders' big TV debate","There were two ghosts in the room during Canada's federal election debate - Justin Trudeau and Donald Trump.","2025-04-18 15:18:22.515911",BBC,general,Unknown,https://www.bbc.com/news/articles/c20x5xxe4wzo
15,"Weekly quiz: What song did Katy Perry sing in space?","How much attention did you pay to what has been going on in the world over the past seven days?","2025-04-18 15:18:22.515921",BBC,general,Unknown,https://www.bbc.com/news/articles/c4g4jd9j54yo
16,"'Our dad's a teacher - this is how we deal with revision stress at home'","Three teenagers and their teacher dad give some top tips on how to survive the stressful exam period.","2025-04-18 15:18:22.515931",BBC,general,Unknown,https://www.bbc.com/news/articles/c8dg4qz6l31o
17,"Why are ancient trees important and what protection do they have?","The felling of an ancient oak in north London has led to an outpouring of anger.","2025-04-18 15:18:22.515941",BBC,general,Unknown,https://www.bbc.com/news/articles/czjnv448110o
18,"Reform and Greens aim high in volatile mayoral contests","Smaller parties are looking to cause an upset in mayoral contests in Hull and the West of England.","2025-04-18 15:18:22.515951",BBC,general,Unknown,https://www.bbc.com/news/articles/c4g2d6881rro
19,"Migrant tents removed from Guantanamo bay, satellite images show","Some 175 tents raised as part of an expansion to the base's migrant detention centre have been removed.","2025-04-18 15:18:22.515961",BBC,general,Unknown,https://www.bbc.com/news/articles/crm3x27vw70o
